"Lokalitet";"habitat";"ano_flate_id";"ano_punkt_id";"combi";"Lat";"lon";"method";"sample";"sampling_scheme";"extraction_method";"sample_weight";"seq_depth";"variable";"species";"value"
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"firblad_paris_quadrifolia";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"bleikmyrklegg_pedicularis_lapponica";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"hengeving_phegopteris_connectilis";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"fjelltimotei_phleum_alpina";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"engtimotei_phleum_pratense";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"gran_picea_abies";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"furu_pinus_sylvestris";0.382862352
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"seterrapp_poa_alpigena";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"fjellrapp_poa_alpina";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"trådrapp_poa_angustifolia";0
"SK1";"skog";"ANO0588";35;"ANO058835";61.05211791;11.65381537;"metabarcoding";"HotSpot_20_001_K_ITS2_ITS4";"A";"kit";17.9;5485;"metabarcoding_SK1_A_kit";"flatrapp_poa_compressa";0
